	name
0	fixation.jpg
126	10 Male Happy S.jpg
251	10 Male Happy.jpg
615	fixation.jpg
739	10 Female Calm S.jpg
863	10 Female Calm.jpg
1227	fixation.jpg
1352	10 Female Fear S.jpg
1476	10 Female Fear.jpg
1841	fixation.jpg
1965	10 Female Happy S.jpg
2090	10 Female Happy.jpg
2454	fixation.jpg
2579	10 Male Fear S.jpg
2703	10 Male Fear.jpg
3068	fixation.jpg
3192	10 Male Calm S.jpg
3317	10 Male Calm.jpg
3680	fixation.jpg
3805	09 Male Calm S.jpg
3930	09 Male Calm.jpg
4295	fixation.jpg
4420	09 Male Fear S.jpg
4543	09 Male Fear.jpg
4908	fixation.jpg
5033	09 Female Calm S.jpg
5157	09 Female Calm.jpg
5522	fixation.jpg
5646	09 Female Fear S.jpg
5772	09 Female Fear.jpg
6137	fixation.jpg
6262	09 Female Happy S.jpg
6388	09 Female Happy.jpg
6753	fixation.jpg
6878	09 Male Happy S.jpg
7003	09 Male Happy.jpg
7368	fixation.jpg
7492	08 Female Fear S.jpg
7616	08 Female Fear.jpg
7981	fixation.jpg
8105	08 Male Calm S.jpg
8229	08 Male Calm.jpg
8593	fixation.jpg
8718	08 Female Happy S.jpg
8842	08 Female Happy.jpg
9206	fixation.jpg
9330	08 Male Fear S.jpg
9455	08 Male Fear.jpg
9819	fixation.jpg
9944	08 Male Happy S.jpg
10069	08 Male Happy.jpg
10434	fixation.jpg
10558	08 Female Calm S.jpg
10682	08 Female Calm.jpg
11046	fixation.jpg
11171	07 Female Fear S.jpg
11296	07 Female Fear.jpg
11661	fixation.jpg
11784	07 Female Happy S.jpg
11910	07 Female Happy.jpg
12274	fixation.jpg
12398	toddler right.wmv
12398	Right_Natural.mp4
19621	fixation.jpg
19747	07 Male Happy S.jpg
19872	07 Male Happy.jpg
20237	fixation.jpg
20362	07 Male Fear S.jpg
20488	07 Male Fear.jpg
20852	fixation.jpg
20976	07 Female Calm S.jpg
21100	07 Female Calm.jpg
21465	fixation.jpg
21590	07 Male Calm S.jpg
21715	07 Male Calm.jpg
22080	fixation.jpg
22204	06 Female Happy S.jpg
22329	06 Female Happy.jpg
22694	fixation.jpg
22818	06 Female Calm S.jpg
22944	06 Female Calm.jpg
23309	fixation.jpg
23433	06 Male Fear S.jpg
23558	06 Male Fear.jpg
23923	fixation.jpg
24048	06 Male Calm S.jpg
24173	06 Male Calm.jpg
24537	fixation.jpg
24662	06 Female Fear S.jpg
24788	06 Female Fear.jpg
25152	fixation.jpg
25277	06 Male Happy S.jpg
25402	06 Male Happy.jpg
25767	fixation.jpg
25892	05 Female Calm S.jpg
26016	05 Female Calm.jpg
26380	fixation.jpg
26506	05 Male Happy S.jpg
26631	05 Male Happy.jpg
26996	fixation.jpg
27122	05 Male Calm S.jpg
27246	05 Male Calm.jpg
27612	fixation.jpg
27737	05 Female Happy S.jpg
27862	05 Female Happy.jpg
28227	fixation.jpg
28352	06 Female Fear S.jpg
28477	05 Female Fear.jpg
28841	fixation.jpg
28966	05 Male Fear S.jpg
29091	05 Male Fear.jpg
29455	fixation.jpg
29580	04 Female Calm S.jpg
29706	04 Female Calm.jpg
30071	fixation.jpg
30196	04 Male Happy S.jpg
30322	04 Male Happy.jpg
30687	fixation.jpg
30811	04 Male Calm S.jpg
30936	04 Male Calm.jpg
31300	fixation.jpg
31424	04 Female Fear S.jpg
31548	04 Female Fear.jpg
31913	fixation.jpg
32038	toddler right.wmv
39260	fixation.jpg
39386	04 Male Fear S.jpg
39512	04 Male Fear .jpg
39878	fixation.jpg
40002	04 Female Happy S.jpg
40128	04 Female Happy.jpg
40493	fixation.jpg
40618	03 Female Fear S.jpg
40743	03 Female Fear.jpg
41107	fixation.jpg
41232	03 Male Calm S.jpg
41357	03 Male Calm.jpg
41721	fixation.jpg
41846	03 Female Calm S.jpg
41971	03 Female Calm.jpg
42336	fixation.jpg
42461	03 Male Fear S.jpg
42586	03 Male Fear.jpg
42951	fixation.jpg
43077	03 Male Happy S.jpg
43202	03 Male Happy.jpg
43566	fixation.jpg
43692	03 Female Happy S.jpg
43818	03 Female Happy.jpg
44183	fixation.jpg
44308	02 Male Calm S.jpg
44432	02 Male Calm.jpg
44796	fixation.jpg
44921	02 Female Fear S.jpg
45045	02 Female Fear.jpg
45410	fixation.jpg
45534	02 Male Happy S.jpg
45659	02 Male Happy.jpg
46024	fixation.jpg
46150	02 Female Calm S.jpg
46275	02 Female Calm.jpg
46639	fixation.jpg
46764	02 Male Fear S.jpg
46888	02 Male Fear.jpg
47254	fixation.jpg
47378	02 Female Happy S.jpg
47504	02 Female Happy.jpg
47868	fixation.jpg
47993	01 Female Calm S.jpg
48118	01 Female Calm.jpg
48483	fixation.jpg
48607	01 Male Happy S.jpg
48731	01 Male Happy.jpg
49096	fixation.jpg
49221	01 Male Calm S.jpg
49346	01 Male Calm.jpg
49712	fixation.jpg
49836	01 Female Fear S.jpg
49963	01 Female Fear.jpg
50327	fixation.jpg
50451	01 Female Happy S.jpg
50577	01 Female Happy.jpg
50941	fixation.jpg
51064	01 Male Fear S.jpg
51189	01 Male Fear.jpg
